"","police_id","n"
"703","226681",15
"704","226684",11
"705","226685",12
"706","226687",11
"707","226694",12
"708","226700",6
"709","226705",16
"710","226807",7
"711","226809",4
"712","226811",16
"713","226812",10
"714","226822",5
"715","226827",5
"716","226829",3
"717","226831",14
"718","226834",14
"719","226837",2
"720","226844",15
"721","226854",11
"722","226861",9
"723","226863",16
"724","226867",5
"725","226869",11
"726","226870",8
"727","226872",5
"728","226882",6
"729","226888",16
"730","226895",7
"731","226915",12
"732","226916",10
"733","226919",14
"734","226922",4
"735","226925",5
"736","226926",15
"737","226965",15
"738","226973",12
"739","226974",12
"740","226975",15
"741","226976",14
"742","226982",2
"743","227229",14
"744","227440",13
"745","227443",3
"746","227511",4
"747","227514",14
"748","227558",5
"749","229888",2
"750","235504",3
"751","235761",15
"752","240531",9
"753","240943",2
"754","240944",1
"755","240945",1
"756","240947",1
"757","240949",1
"758","240953",2
"759","240955",1
"760","240956",2
"761","240957",1
"762","240958",1
"763","240959",1
"764","240960",1
"765","240961",1
"766","240964",2
"767","240966",2
"768","240967",2
"769","240968",1
"770","240970",1
"771","240971",1
"772","240972",2
"773","240976",2
"774","240977",2
"775","240978",2
"776","240979",2
"777","240981",1
"778","240982",2
"779","240983",1
"780","240984",1
"781","240985",2
"782","240986",2
"783","240987",2
"784","240989",2
"785","256371",1
"786","256376",1
"787","256379",1
"788","256380",1
"789","256381",1
"790","256382",1
"791","256383",2
"792","256384",1
"793","256385",1
"794","256386",1
"795","256388",1
"796","256389",1
"797","256391",1
"798","256394",1
"799","256411",1
"800","256412",1
"801","256414",1
"802","256417",2
"803","256419",1
"804","256420",1
"805","256421",1
"806","256423",1
"807","256424",1
"808","256425",1
"809","256426",1
"810","256427",1
"811","256439",1
"812","256443",1
"813","256446",1
"814","256488",1
"815","256492",1
"816","256493",1
"817","256495",1
"818","256496",2
"819","256499",1
"820","256501",1
"821","256505",1
"822","257427",1
"823","258976",1
"824","262286",16
"825","262506",16
"826","262724",13
"827","262725",6
"828","262726",6
"829","262728",4
"830","262736",12
"831","262737",1
"832","262739",12
"833","262742",13
"834","262743",17
"835","262747",11
"836","262749",14
"837","262750",10
"838","262755",6
"839","262757",16
"840","262758",1
"841","262759",5
"842","262760",13
"843","262762",5
"844","262765",6
"845","262766",13
"846","262767",4
"847","262769",8
"848","262776",14
"849","262777",3
"850","262791",3
"851","262793",13
"852","262796",11
"853","262797",8
"854","266867",4
"855","266870",7
"856","266943",8
"857","266952",3
"858","266964",11
"859","267000",6
"860","267019",8
"861","267049",16
"862","267057",11
"863","267089",11
"864","267135",8
"865","267150",1
"866","267169",5
"867","267255",9
"868","267339",14
"869","267404",3
"870","267428",2
"871","267438",12
"872","267442",7
"873","267469",2
"874","267478",13
"875","267483",6
"876","267496",16
"877","267629",16
"878","267641",15
"879","267666",10
"880","267667",3
"881","267688",15
"882","267697",7
"883","267747",8
"884","267793",14
"885","267831",16
"886","267848",15
"887","267869",6
"888","267878",15
"889","267911",2
"890","267932",10
"891","268012",15
"892","268016",10
"893","268030",3
"894","268046",8
"895","268064",11
"896","268082",4
"897","268100",16
"898","268175",4
"899","268197",14
"900","268216",3
"901","268283",1
"902","268316",1
"903","268381",16
"904","332215",13
"905","332216",16
"906","332217",14
"907","332220",13
"908","332222",17
"909","332224",12
"910","332226",6
"911","332227",1
"912","332229",14
"913","332234",3
"914","332238",4
"915","332240",5
"916","332244",7
"917","332245",3
"918","332253",8
"919","332256",7
"920","332258",9
"921","332298",10
"922","343522",2
"923","343614",11
"924","344367",15
"925","344534",7
"926","345098",4
"927","345138",14
"928","375570",14
"929","381709",15
"930","382224",12
"931","401011",4
"932","402179",4
"933","402630",15
"934","402631",16
"935","402633",3
"936","402635",11
"937","402637",5
"938","402646",2
"939","402648",12
"940","402652",11
"941","402653",15
"942","402656",3
"943","402657",15
"944","402658",16
"945","402659",1
"946","402660",14
"947","402668",16
"948","402675",8
"949","402678",8
"950","403624",9
"951","404012",3
"952","405387",13
"953","405391",14
"954","405397",14
"955","405398",10
"956","405400",15
"957","405402",9
"958","405406",7
"959","405407",13
"960","405410",13
"961","405411",15
"962","405412",10
"963","405418",10
"964","405420",8
"965","405423",5
"966","405424",16
"967","405425",15
"968","405427",1
"969","405429",11
"970","405431",7
"971","405434",9
"972","405437",4
"973","405438",9
"974","405439",10
